"","","","","","Даты и срок","","Глобальная скидка","","","","","","","","","","","","","","","","","","",""
"","","","","","8.7","","","","Скутеры","","","","","","","","","","","","","","","","",""
"","","","","","15.7","7","15%","15%","25%","","","","","","","","","","","","","","","","",""
"ADV 350CC BLACK PHUKET 5849","","","FALSE","FALSE","ADV 350CC BLACK PHUKET 5849","","","","ADV 350CC |  дней: 7 стоимость: 4928  (Скидка за срок 6%, 704 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"ADV 350CC GREY BKK 798","","","FALSE","FALSE","ADV 350CC GREY BKK 798","","","","ADV 350CC |  дней: 7 стоимость: 4928  (Скидка за срок 6%, 704 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"CB 300CC R 9011","","","FALSE","FALSE","CB 300CC R 9011","","","","CB 300R |  дней: 7 стоимость: 4716 (Скидка за срок 11%, 674 в день), депозит: 15 000 бат","","","","","","","","","","","","","","","","",""
"CBR 650R PHUKET 4505","","","FALSE","FALSE","CBR 650R PHUKET 4505","","","","CBR 650R |  дней: 7 стоимость: 9519  (Скидка за срок 11%, 1360 в день), депозит: 20 000 бат","","","","","","","","","","","","","","","","",""
"CLICK 125CC PHUKET 5580","","","FALSE","FALSE","NINJA 400СС PHUKET 6334","","","","NINJA 400CC |  дней: 7 стоимость: 6274 (Скидка за срок 11%, 896 в день), депозит: 20 000 бат","","","","","","","","","","","","","","","","",""
"FORZA 300CC WHITE PHUKET 8950","","","FALSE","FALSE","NMAX 155CC BLACK GOLD PHUKET 4255","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"MT-03 300СС BLUE PHUKET 5068","","","FALSE","FALSE","NMAX 155CC BLACK GOLD-2 PHUKET 4685","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NINJA 400СС PHUKET 6334","","","FALSE","FALSE","NMAX 155CC BLACK GOLD-3 PHUKET 7530","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC BLACK GOLD PHUKET 4255","","","FALSE","FALSE","NMAX 155CC BLACK PHUKET 8952","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC BLACK GOLD-2 PHUKET 4685","","","FALSE","FALSE","NMAX 155CC GREEN-B PHUKET 4957","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC BLACK GOLD-3 PHUKET 7530","","","FALSE","FALSE","NMAX 155CC GREY GOLD PHUKET 6908","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC BLACK GREEN PHUKET 4253","","","FALSE","FALSE","NMAX 155CC RACE PHUKET 7532","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC BLACK PHUKET 8952","","","FALSE","FALSE","NMAX 155CC RED WHITE PHUKET 9548","","","","NMAX 155CC |  дней: 7 стоимость: 2217  (Скидка за срок 6%, 317 в день), депозит: 3 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC GREEN-B PHUKET 4957","","","FALSE","FALSE","VULCAN 650CC S PHUKET 5065","","","","VULCAN 650CC |  дней: 7 стоимость: 9519  (Скидка за срок 11%, 1360 в день), депозит: 20 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC GREY GOLD PHUKET 6908","","","TRUE","TRUE","XMAX 300CC NEW RED GLOSS BKK 5709","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC GREY PHUKET 5960","","","TRUE","FALSE","XMAX 300CC BLUE PHUKET 5773","","","","XMAX 300CC |  дней: 7 стоимость: 3902  (Скидка за срок 6%, 557 в день), депозит: 5 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC RACE PHUKET 7532","","","TRUE","FALSE","XMAX 300CC GREEN PHUKET 4248","","","","XMAX 300CC |  дней: 7 стоимость: 3902  (Скидка за срок 6%, 557 в день), депозит: 5 000 бат","","","","","","","","","","","","","","","","",""
"NMAX 155CC RED WHITE PHUKET 9548","","","TRUE","FALSE","XMAX 300CC GREY PHUKET 4246","","","","XMAX 300CC |  дней: 7 стоимость: 3902  (Скидка за срок 6%, 557 в день), депозит: 5 000 бат","","","","","","","","","","","","","","","","",""
"VULCAN 650CC S PHUKET 5065","","","FALSE","FALSE","XSR 155СС BLACK PHUKET 8949","","","","XSR 155CC |  дней: 7 стоимость: 3303 (Скидка за срок 6%, 472 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW RED GLOSS BKK 5709","","","FALSE","FALSE","XSR 155СС GREEN","","","","XSR 155CC |  дней: 7 стоимость: 3303 (Скидка за срок 6%, 472 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC BLUE PHUKET 5773","","","TRUE","TRUE","XMAX 300CC NEW BLACK PHUKET 8969","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC GREEN PHUKET 4248","","","TRUE","TRUE","XMAX 300CC NEW BLUE PHUKET 1813","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC GREY PHUKET 4246","","","FALSE","FALSE","ADV 350CC DARK GREY BANGKOK 6895","","","","ADV 350CC |  дней: 7 стоимость: 4928  (Скидка за срок 6%, 704 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XSR 155СС BLACK PHUKET 8949","","","TRUE","TRUE","XMAX 300CC NEW RED GLOSS 2 PHUKET 4729","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XSR 155СС GREEN","","","TRUE","TRUE","XMAX 300CC NEW BROWN BANGKOK 9315","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW BLACK PHUKET 8969","","","FALSE","FALSE","ADV 350CC RED BKK 9890","","","","ADV 350CC |  дней: 7 стоимость: 4928  (Скидка за срок 6%, 704 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW BLUE PHUKET 1813","","","FALSE","FALSE","XADV 750CC BLACK BKK 3902","","","","XADV 750CC |  дней: 7 стоимость: 13759  (Скидка за срок 6%, 1966 в день), депозит: 25 000 бат","","","","","","","","","","","","","","","","",""
"ADV 350CC DARK GREY BANGKOK 6895","","","TRUE","TRUE","XMAX 300CC NEW BLUE-2 PHUKET 4725","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW RED GLOSS 2 PHUKET 4729","","","FALSE","FALSE","CB 650R BLACK PHUKET 3503","","","","CB 650R |  дней: 7 стоимость: 9519  (Скидка за срок 11%, 1360 в день), депозит: 20 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW BROWN BANGKOK 9315","","","FALSE","FALSE","XADV 750CC GREY BKK 2478","","","","XADV 750CC |  дней: 7 стоимость: 13759  (Скидка за срок 6%, 1966 в день), депозит: 25 000 бат","","","","","","","","","","","","","","","","",""
"ADV 350CC RED BKK 9890","","","FALSE","FALSE","ADV 350CC LIGHT GREY HKT 6004","","","","ADV 350CC |  дней: 7 стоимость: 4928  (Скидка за срок 6%, 704 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XADV 750CC BLACK BKK 3902","","","FALSE","FALSE","ADV 350CC BLACK GOLD PHUKET 372","","","","ADV 350CC |  дней: 7 стоимость: 4928  (Скидка за срок 6%, 704 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"XMAX 300CC NEW BLUE-2 PHUKET 4725","","","TRUE","TRUE","XMAX 300CC NEW BLUE-3 PHUKET 4724","","","","XMAX 300CC НОВОЕ ПОКОЛЕНИЕ |  дней: 7 стоимость: 4632  (Скидка за срок 6%, 662 в день), депозит: 7 000 бат","","","","","","","","","","","","","","","","",""
"CB 650R BLACK PHUKET 3503","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"XADV 750CC GREY BKK 2478","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"ADV 350CC LIGHT GREY HKT 6004","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
"ADV 350CC BLACK GOLD PHUKET 372","","","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","",""
